machine	bbchallenge_id	formula_tape	num_steps_until_formula_tape	num_macro_steps_until_special_case
1RB1LB_1RC0LB_1RD0RA_1RE---_0LA0RB	11603166	.<B000(00100010)10.	241	92
1RB1LB_1RC0LB_1LA0RD_---0RE_1LE1RA	11603405	.<B0000111001110011100111001110011100(11100)00111(011)11.	1705	398
1RB1LB_1RC0LB_1LA0RD_---1RE_1RA0RE	11603431	.101(101101)001A>.	158	58
1RB1LB_1RC0LC_0RD0LA_0RE1RA_1LB---	11604038	.<A00100(0100).	69	25
1RB1LB_1RC0LC_0RD1RD_1LA0RE_---0LA	11604134	.<B1111(111111).	167	59
1RB1LB_1RC0LC_0RD1RD_1LA1RE_---1RC	11604137	.<B1111(111111).	147	53
1RB1LB_1RC0LC_0LD0RA_1LA1LE_---0LD	11604384	.<A1010(11010).	78	27
1RB1LB_1RC0LC_0LD0RE_---1LA_1RA1LB	11604442	.(1101)A>.	42	12
1RB1LB_1RC0LC_0LD0RE_1RA1LD_---0RB	11604476	.<C0111(111)0010.	79	23
1RB1LB_1RC0LC_1RD1RD_1LA0RE_---0LA	11605066	.<B1111(111111).	147	51
1RB1LB_1RC0LC_1RD1RD_1LA1RE_---1RC	11605070	.<B1111(111111).	127	45
1RB1LB_1RC0LC_1RD1LD_0LE0RC_---0LA	11605241	.<A00100(10100).	124	47
1RB1LB_1RC0LC_1RD1LE_0LA---_0RB1RE	11605263	.<B10010010(010010)10.	284	100
1RB1LB_1RC0LC_1LA0RD_1RE1RB_0RB---	11605472	.<B11011011011(011).	99	29
1RB1LB_1RC0LC_1LA0LD_1RA1LE_---0RC	11605553	.1111111(11)C>.	209	71
1RB1LB_1RC0LC_1LA1LD_0LE0RD_1RB---	11605837	.<B1101111(01111).	165	59
1RB1LB_1RC0LC_1LD0RE_---0LA_1LC1RC	11606161	.<A011111011(10101011).	326	110
1RB1LB_1RC0LC_1LD0RE_---1LA_1RA0LE	11606176	.1101(010101)A>.	303	97
1RB1LB_1RC0LC_1LD1RA_0LA1LE_---0RC	11606332	.<A0101(0101).	84	30
1RB1LB_1RC0LC_1LD1RA_1RB1LE_---0RC	11606338	.(1111)A>.	48	16
1RB1LB_1RC0LD_0RD1RB_1LE0RA_1LA---	11606747	.<A110111(0111).	75	29
1RB1LB_1RC0LD_0LA0RA_1RD1RE_1LA---	11607274	.1111(1111)0A>.	135	47
1RB1LB_1RC0LD_0LA0RC_1LC1LE_---1LD	11607498	.<A01010(111010111010).	531	178
1RB1LB_1RC0LD_0LA0RC_1LE1RE_1LA---	11607511	.<B11101(1101)0.	120	48
1RB1LB_1RC0LD_0LA0RD_1RE1LC_1RB---	11607539	.<A0100(1010).	78	22
1RB1LB_1RC0LD_0LA0RD_1LE0RB_1LC---	11607549	.<A011010(110110110).	302	109
1RB1LB_1RC0LD_0LA0RE_1LC0RA_1LA---	11607710	.<A01010(1010).	63	23
1RB1LB_1RC0LD_0LD0RA_---1LE_0RA1LA	11610465	.1111011(111011)01B>.	457	158
1RB1LB_1RC0LD_0LD0RA_---1LE_1RC1LA	11610466	.1111011(111011)01B>.	379	132
1RB1LB_1RC0LD_1RD0RD_1RE0LA_1LA---	11610982	.<B1001(001001001)1.	223	75
1RB1LB_1RC0LD_1RD0LB_1LA1RE_0RB---	11611024	.<A10010(001000100010)1.	509	163
1RB1LB_1RC0LD_1LA0RA_0LE---_0RB0LC	11611982	.1111(1111)0A>.	147	51
1RB1LB_1RC0LD_1LA0RA_0LE---_1RA0LC	11611987	.1111(1111)0A>.	123	43
1RB1LB_1RC0LD_1LA0RA_0LE---_1LB0LC	11611989	.10111(111111)0A>.	183	65
1RB1LB_1RC0LD_1LA0RA_1RC0LE_---0LC	11611998	.1111(1111)0A>.	129	45
1RB1LB_1RC0LD_1LA0RA_1LE1RE_0LC---	11612035	.<A101011(01011).	88	33
1RB1LB_1RC0LD_1LA0RB_1RA0LE_---1RC	11612092	.<B1101(011011).	124	40
1RB1LB_1RC0LD_1LA0RB_1RA1LE_---1LB	11612093	.<B1101(011011).	102	34
1RB1LB_1RC0LD_1LA0RC_1LE0RA_0LC---	11612270	.<A101011(01011).	84	31
1RB1LB_1RC0LD_1LA1RA_1LE0RA_0LB---	11613015	.<B(1110)01011.	115	40
1RB1LB_1RC0LD_1LA1RD_1RE0LA_0RB---	11613407	.<B1001010(01010).	177	58
1RB1LB_1RC0LD_1LA1RE_1RB1RC_---1RD	11613639	.11111(111111)B>.	138	50
1RB1LB_1RC0LD_1LB0RE_0LA1RE_0RB---	11614755	.<A001001(001001).	165	57
1RB1LB_1RC0LD_1LD0RE_0RA1LA_---1RA	11615606	.1011101(1101)A>.	114	33
1RB1LB_1RC0LD_1LD0RE_0RD1LA_---1RA	11615610	.1011101(1101)A>.	122	35
