machine; formula tape; number steps before formula tape; number macro steps before special case
1RB---_0RC0LC_1RD1LC_1LE1RE_1RA0LE; 0∞<C1111(11)00111100∞; 122; 30
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0RC; 0∞1011001(1001)A>0∞; 135; 43
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LB; 0∞1011001(1001)A>0∞; 123; 39
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LC; 0∞1011001(1001)A>0∞; 99; 31
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LD; 0∞1011001(1001)A>0∞; 147; 47
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA1LD; 0∞1011001(1001)A>0∞; 111; 35
1RB---_0RC0LC_1LD0RE_0RE0LE_1RA0LC; 0∞1011001(1001)A>0∞; 99; 31
1RB---_0RC0LC_1LD0RE_0LE0RC_1RA0LB; 0∞(1001100110011001)A>0∞; 420; 110
1RB---_0RC0LC_1LD0RE_1RD0LE_1RA1LD; 0∞1011001(1001)A>0∞; 111; 35
1RB---_0RC0LC_1LD0RE_1LB0LD_0LA1RA; 0∞<B11011(1011)0∞; 87; 32
1RB---_0RC0LC_1LD0RE_1LB0LE_0LA0RA; 0∞<B11011(1011)0∞; 75; 28
1RB---_0RC0LC_1LD0LA_1LE1RE_1LB0RD; 0∞<A00111111(111111)0∞; 282; 98
1RB---_0RC0LC_1LD1RA_0LE0RB_0RB1LB; 0∞00111011101(1101)A>0∞; 248; 77
1RB---_0RC0LC_1LD1RA_0LE0RB_0RE1LB; 0∞00111011101(1101)A>0∞; 260; 81
1RB---_0RC0LC_1LD1RA_0LE0RB_1RA1LB; 0∞111011011101(1011101)A>0∞; 278; 87
1RB---_0RC0LC_1LD1RA_0LE0RB_1RB1LB; 0∞10110111011(0111011)101A>0∞; 308; 99
1RB---_0RC0LC_1LD1RA_0LE0RB_1RD1LB; 0∞011101(1011101)A>0∞; 169; 59
1RB---_0RC0LC_1LD1RA_0LE0RB_1RE1LB; 0∞111011011101(1011101)A>0∞; 290; 91
1RB---_0RC0LC_1LD1RA_0LE0RB_1LB0RD; 0∞011101(1011101)A>0∞; 185; 63
1RB---_0RC0LC_1LD1RA_0LE0RB_1LB1LB; 0∞011101(1011101)A>0∞; 165; 57
