machine; formula tape; number steps before formula tape; number macro steps before special case
1RB---_0RC0LB_1LD1RE_1LB1RC_1RA1RC; 0∞011111011111(011111)1A>0∞; 149; 86
1RB---_0RC0LB_1LD1RE_1LB1LC_1RA1RC; 0∞011111011111(011111)1A>0∞; 167; 96
1RB---_0RC0LC_0RD0LA_0LE0RC_1LE1LB; 0∞<A0011101110(1110)0∞; 156; 84
1RB---_0RC0LC_0RD0LA_0LE0RE_1LE1LB; 0∞<A0011101110(1110)0∞; 168; 92
1RB---_0RC0LC_0RD1RA_0LD1LE_0LA1LD; 0∞<A0101111(11)0000∞; 74; 32
1RB---_0RC0LC_0RD1RA_0LD1LE_1LA0LD; 0∞<A110100100(100)00∞; 74; 30
1RB---_0RC0LC_0LD0RA_1LE1LC_1RC0LE; 0∞<C10101010101010(1010)0∞; 128; 55
1RB---_0RC0LC_0LD1RE_1LB0RE_1LC0RA; 0∞<B100101010(1010)0∞; 73; 44
1RB---_0RC0LC_1RD0LA_1LE0RB_1LC0LD; 0∞<C1101010101(0101)0∞; 75; 40
1RB---_0RC0LC_1RD0LD_1RE0LB_1LB1RA; 0∞<C01000010000100001000010(00010)10∞; 346; 132
1RB---_0RC0LC_1RD0LD_1RE0LD_1LB1RA; 0∞<C01000010000100001000010(00010)10∞; 346; 132
1RB---_0RC0LC_1RD0LE_1RE1RA_1LC0LD; 0∞1101110111011101110111011(10111011)A>0∞; 454; 173
1RB---_0RC0LC_1RD0LE_1LB0RE_1RA1LB; 0∞111101110111(0111)B>0∞; 143; 55
1RB---_0RC0LC_1RD0LE_1LC0RA_1RA1LB; 0∞<B1001001000010010000(10010000)0∞; 1232; 725
1RB---_0RC0LC_1RD1RA_0LE0RE_1LA1LD; 0∞<A1010101010(1010)0∞; 73; 40
1RB---_0RC0LC_1RD1RA_0LE0LE_1LA1LD; 0∞<A1010101010(1010)0∞; 63; 34
1RB---_0RC0LC_1RD1LC_1LE1RE_1RA0LE; 0∞<C111111(11)00111100∞; 122; 40
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0RC; 0∞10110011001(1001)A>0∞; 135; 59
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LB; 0∞10110011001(1001)A>0∞; 123; 53
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LC; 0∞10110011001(1001)A>0∞; 99; 41
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LD; 0∞10110011001(1001)A>0∞; 147; 65
1RB---_0RC0LC_1LD0RE_0RB0LE_1RA1LD; 0∞10110011001(1001)A>0∞; 111; 47
1RB---_0RC0LC_1LD0RE_0RE0LE_1RA0LC; 0∞10110011001(1001)A>0∞; 99; 41
1RB---_0RC0LC_1LD0RE_0LE0RC_1RA0LB; 0∞1001100110011001(1001100110011001)A>0∞; 420; 318
1RB---_0RC0LC_1LD0RE_1RD0LE_1RA1LD; 0∞10110011001(1001)A>0∞; 111; 47
1RB---_0RC0LC_1LD0RE_1LB0LD_0LA1RA; 0∞<B110111011(1011)0∞; 87; 52
1RB---_0RC0LC_1LD0RE_1LB0LE_0LA0RA; 0∞<B110111011(1011)0∞; 75; 44
1RB---_0RC0LC_1LD0LA_1LE1RE_1LB0RD; 0∞<A00111111111111(111111)0∞; 282; 146
1RB---_0RC0LC_1LD1RA_0LE0RB_0RB1LB; 0∞001110111011101(1101)A>0∞; 248; 109
1RB---_0RC0LC_1LD1RA_0LE0RB_0RE1LB; 0∞001110111011101(1101)A>0∞; 260; 113
1RB---_0RC0LC_1LD1RA_0LE0RB_1RA1LB; 0∞1110110111011011101(1011101)A>0∞; 278; 119
1RB---_0RC0LC_1LD1RA_0LE0RB_1RB1LB; 0∞101101110110111011(0111011)101A>0∞; 308; 131
1RB---_0RC0LC_1LD1RA_0LE0RB_1RD1LB; 0∞0111011011101(1011101)A>0∞; 169; 91
1RB---_0RC0LC_1LD1RA_0LE0RB_1RE1LB; 0∞1110110111011011101(1011101)A>0∞; 290; 123
1RB---_0RC0LC_1LD1RA_0LE0RB_1LB0RD; 0∞0111011011101(1011101)A>0∞; 185; 99
1RB---_0RC0LC_1LD1RA_0LE0RB_1LB1LB; 0∞0111011011101(1011101)A>0∞; 165; 89
1RB---_0RC0LC_1LD1RA_0LE0RE_1LA1LD; 0∞<A101010101(0101)0∞; 67; 38
1RB---_0RC0LC_1LD1RA_0LE0LD_0RA1LB; 0∞0111011011101(1011101)A>0∞; 215; 126
1RB---_0RC0LC_1LD1RA_0LE0LD_0RB1LB; 0∞00110111011011101(1011101)A>0∞; 294; 152
1RB---_0RC0LC_1LD1RA_0LE0LD_1RA1LB; 0∞111011101110110111011011101(10111011011101)A>0∞; 608; 357
1RB---_0RC0LC_1LD1RA_0LE0LD_1RD1LB; 0∞01110110111011011101(10111011011101)A>0∞; 481; 313
1RB---_0RC0LC_1LD1RA_0LE0LD_1LB0RD; 0∞01110110111011011101(10111011011101)A>0∞; 541; 353
1RB---_0RC0LC_1LD1RA_0LE0LD_1LB1LB; 0∞01110110111011011101(10111011011101)A>0∞; 473; 309
1RB---_0RC0LC_1LD1RA_0LE0LE_1LA1LD; 0∞<A101010101(0101)0∞; 57; 32
1RB---_0RC0LC_1LD1RA_1RE0LD_0RB1LD; 0∞111(11)001101(101)A>0∞; 161; 97
1RB---_0RC0LC_1LD1RA_1RE0LE_1LA1LD; 0∞<A101010101(0101)0∞; 71; 38
1RB---_0RC0LC_1LD1RC_1RE1LE_0LA1LB; 0∞<A0110111111(111)0∞; 82; 36
1RB---_0RC0LC_1LD1RE_1LB0RB_0RD0RA; 0∞010101010101010(1010)A>0∞; 122; 49
1RB---_0RC0LC_1LD1RE_1LB0RB_0RD1RA; 0∞0111001110011(10011)A>0∞; 175; 93
1RB---_0RC0LD_0RD0RA_0LE1RD_1LA1LB; 0∞<A1001000100(0100)0∞; 101; 54
1RB---_0RC0LD_0RD0RA_1LE1LB_1LA---; 0∞<B10101010101(0101)0∞; 98; 51
1RB---_0RC0LD_0RD0LA_1LE1RD_1LA1LB; 0∞<A110111111111111111(111111111111)0∞; 587; 403
1RB---_0RC0LD_0RD1RB_0RE0LA_1LE1LB; 0∞<B11111111(111)0∞; 77; 43
1RB---_0RC0LD_0RD1RB_1RE0LE_1LB---; 0∞<B100110011(0011)10∞; 138; 80
1RB---_0RC0LD_0RD1RB_1LD1RE_1RA0LE; 0∞11011011011(011011)A>0∞; 168; 98
1RB---_0RC0LD_0RD1RC_0RE0LA_1LE0LB; 0∞011000101011(011)C>0∞; 72; 25
1RB---_0RC0LD_0RD1RC_0LE1RA_1LB1LE; 0∞<B1111(11)00100∞; 64; 29
1RB---_0RC0LD_0RD1RD_0LE1LB_1LA0RA; 0∞<A1001000100(0100)0∞; 89; 48
1RB---_0RC0LD_0LD0RE_0LE1LC_0RA1LD; 0∞01000100010(0010)C>0∞; 89; 43
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA0LB; 0∞<B10101010101(0101)0∞; 116; 57
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA0LD; 0∞<B10101010101(0101)0∞; 92; 49
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA1RD; 0∞<B10101010101(0101)0∞; 104; 53
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA1LA; 0∞<B10101010101(0101)0∞; 98; 51
1RB---_0RC0LD_1RD0RE_1LE0RA_0LB0LD; 0∞<B01001010100100101010(0100101010)10010111(11)01010∞; 831; 444
1RB---_0RC0LD_1RD0LA_1LE0RB_0LC0RB; 0∞<A0010010(010)0∞; 63; 35
1RB---_0RC0LD_1RD0LA_1LE0RB_1LA0LD; 0∞<A1101010101(0101)0∞; 67; 36
1RB---_0RC0LD_1RD0LB_1RE0LE_1LC1RA; 0∞<B0101000100010101000101(01000101)0∞; 351; 167
1RB---_0RC0LD_1RD0LE_1LB1RA_1LC1RE; 0∞<C1011111111111111111111111111(1111)00∞; 871; 186
1RB---_0RC0LD_1RD1RA_0LE0RA_1RB1LD; 0∞101010(1010)C>0∞; 40; 26
1RB---_0RC0LD_1RD1RA_0LE0RA_1LA1LD; 0∞<A1010101010(1010)0∞; 63; 34
1RB---_0RC0LD_1RD1RA_0LE0RD_1LB1RE; 0∞01101101101101101101(101101)A>0∞; 361; 142
1RB---_0RC0LD_1RD1RA_1LE0RA_1LA0LD; 0∞<A1101010101(0101)0∞; 69; 37
1RB---_0RC0LD_1RD1RB_1LE1LB_1RC1LA; 0∞<B10101010101010101(01010101)0∞; 215; 116
1RB---_0RC0LD_1RD1RE_0LE0RA_1RB1LD; 0∞101010(1010)C>0∞; 40; 26
1RB---_0RC0LD_1RD1RE_1LC1RA_0RB1LE; 0∞1111111111111111111111(111111111111111111)010B>0∞; 1257; 844
1RB---_0RC0LD_1RD1LE_1LE1RA_1RD0LC; 0∞11111(1111)B>0∞; 47; 31
1RB---_0RC0LD_1LA0RA_1RB1LE_0LD1LA; 0∞<A1101010(1010)0∞; 77; 45
