machine_id; machine; closed_states
725159; 1RB---_0LB0LC_1LA0LD_1RE1LD_1LD1RE; {'D', 'E'}
725173; 1RB---_0LB0LC_1LA0LD_1LE1RD_0RD0LE; {'D', 'E'}
725175; 1RB---_0LB0LC_1LA0LD_1LE1RD_0RD1LE; {'D', 'E'}
725178; 1RB---_0LB0LC_1LA0LD_1LE1RD_1RD1LE; {'D', 'E'}
725200; 1RB---_0LB0LC_1LA1RD_0RE0RD_1LE1RD; {'D', 'E'}
725202; 1RB---_0LB0LC_1LA1RD_0RE0LD_1LD1RE; {'D', 'E'}
725208; 1RB---_0LB0LC_1LA1RD_0RE1LD_1LD1RE; {'D', 'E'}
725221; 1RB---_0LB0LC_1LA1RD_0LD1RE_1LD0RE; {'D', 'E'}
725268; 1RB---_0LB0LC_1LA1RD_0LE0RD_1RD1LE; {'D', 'E'}
725273; 1RB---_0LB0LC_1LA1RD_0LE0LD_1RE1LD; {'D', 'E'}
725285; 1RB---_0LB0LC_1LA1RD_0LE1RD_1RD1LE; {'D', 'E'}
725370; 1RB---_0LB0LC_1LA1RD_1RE1LD_0LD0RE; {'D', 'E'}
725373; 1RB---_0LB0LC_1LA1RD_1RE1LD_0LD1RE; {'D', 'E'}
725379; 1RB---_0LB0LC_1LA1RD_1RE1LD_1LD1RE; {'D', 'E'}
725472; 1RB---_0LB0LC_1LA1RD_1LD1RE_0RD0RE; {'D', 'E'}
725487; 1RB---_0LB0LC_1LA1RD_1LD1RE_1LD0RE; {'D', 'E'}
725515; 1RB---_0LB0LC_1LA1RD_1LE0RD_0LE1RD; {'D', 'E'}
725517; 1RB---_0LB0LC_1LA1RD_1LE0RD_1LE1RD; {'D', 'E'}
725555; 1RB---_0LB0LC_1LA1RD_1LE1RD_0RD0LE; {'D', 'E'}
725556; 1RB---_0LB0LC_1LA1RD_1LE1RD_0RD1LE; {'D', 'E'}
725558; 1RB---_0LB0LC_1LA1RD_1LE1RD_1RD1LE; {'D', 'E'}
725645; 1RB---_0LB0LC_1LA1LD_0RD1LE_1RD0LE; {'D', 'E'}
725676; 1RB---_0LB0LC_1LA1LD_0RE0RD_1LE1RD; {'D', 'E'}
725682; 1RB---_0LB0LC_1LA1LD_0RE0LD_1LD1RE; {'D', 'E'}
725719; 1RB---_0LB0LC_1LA1LD_0RE1LD_1LD1RE; {'D', 'E'}
725735; 1RB---_0LB0LC_1LA1LD_0LE0RD_1RD1LE; {'D', 'E'}
725740; 1RB---_0LB0LC_1LA1LD_0LE0LD_1RE1LD; {'D', 'E'}
725755; 1RB---_0LB0LC_1LA1LD_0LE1RD_1RD1LE; {'D', 'E'}
725863; 1RB---_0LB0LC_1LA1LD_1RD1LE_0LD0LE; {'D', 'E'}
725868; 1RB---_0LB0LC_1LA1LD_1RD1LE_1RD0LE; {'D', 'E'}
725914; 1RB---_0LB0LC_1LA1LD_1RE0LD_0RE1LD; {'D', 'E'}
725917; 1RB---_0LB0LC_1LA1LD_1RE0LD_1RE1LD; {'D', 'E'}
725995; 1RB---_0LB0LC_1LA1LD_1RE1LD_0LD0RE; {'D', 'E'}
725996; 1RB---_0LB0LC_1LA1LD_1RE1LD_0LD1RE; {'D', 'E'}
726001; 1RB---_0LB0LC_1LA1LD_1RE1LD_1LD1RE; {'D', 'E'}
726053; 1RB---_0LB0LC_1LA1LD_1LE1RD_0RD0LE; {'D', 'E'}
726055; 1RB---_0LB0LC_1LA1LD_1LE1RD_0RD1LE; {'D', 'E'}
726061; 1RB---_0LB0LC_1LA1LD_1LE1RD_1RD1LE; {'D', 'E'}
726107; 1RB---_0LB0LC_1LD---_0RD1LE_1RD0LE; {'D', 'E'}
726138; 1RB---_0LB0LC_1LD---_0RE0RD_1LE1RD; {'D', 'E'}
726150; 1RB---_0LB0LC_1LD---_0RE0LD_1LD1RE; {'D', 'E'}
726165; 1RB---_0LB0LC_1LD---_0RE1LD_1LD1RE; {'D', 'E'}
726182; 1RB---_0LB0LC_1LD---_0LE0RD_1RD1LE; {'D', 'E'}
726187; 1RB---_0LB0LC_1LD---_0LE0LD_1RE1LD; {'D', 'E'}
726192; 1RB---_0LB0LC_1LD---_0LE1RD_1RD1LE; {'D', 'E'}
726235; 1RB---_0LB0LC_1LD---_1RD1LE_0LD0LE; {'D', 'E'}
726240; 1RB---_0LB0LC_1LD---_1RD1LE_1RD0LE; {'D', 'E'}
726270; 1RB---_0LB0LC_1LD---_1RE0LD_0RE1LD; {'D', 'E'}
726274; 1RB---_0LB0LC_1LD---_1RE0LD_1RE1LD; {'D', 'E'}
726305; 1RB---_0LB0LC_1LD---_1RE1LD_0LD0RE; {'D', 'E'}
726306; 1RB---_0LB0LC_1LD---_1RE1LD_0LD1RE; {'D', 'E'}
726309; 1RB---_0LB0LC_1LD---_1RE1LD_1LD1RE; {'D', 'E'}
726332; 1RB---_0LB0LC_1LD---_1LE1RD_0RD0LE; {'D', 'E'}
726333; 1RB---_0LB0LC_1LD---_1LE1RD_0RD1LE; {'D', 'E'}
726335; 1RB---_0LB0LC_1LD---_1LE1RD_1RD1LE; {'D', 'E'}
778895; 1RB---_0LB1LC_0RD---_0RD1LE_1RD0LE; {'D', 'E'}
778916; 1RB---_0LB1LC_0RD---_0RE0LD_1LD1RE; {'D', 'E'}
779005; 1RB---_0LB1LC_0RD---_0RE1LD_1LD1RE; {'D', 'E'}
779088; 1RB---_0LB1LC_0RD---_0LD1RE_1LD0RE; {'D', 'E'}
779103; 1RB---_0LB1LC_0RD---_0LE0RD_1RD1LE; {'D', 'E'}
779162; 1RB---_0LB1LC_0RD---_0LE1RD_1RD1LE; {'D', 'E'}
779211; 1RB---_0LB1LC_0RD---_1RD1LE_0LD0LE; {'D', 'E'}
779215; 1RB---_0LB1LC_0RD---_1RD1LE_1RD0LE; {'D', 'E'}
779265; 1RB---_0LB1LC_0RD---_1RE1LD_0LD0RE; {'D', 'E'}
779266; 1RB---_0LB1LC_0RD---_1RE1LD_0LD1RE; {'D', 'E'}
779268; 1RB---_0LB1LC_0RD---_1RE1LD_1LD1RE; {'D', 'E'}
779288; 1RB---_0LB1LC_0RD---_1LD1RE_0RD0RE; {'D', 'E'}
779294; 1RB---_0LB1LC_0RD---_1LD1RE_1LD0RE; {'D', 'E'}
779324; 1RB---_0LB1LC_0RD---_1LE1RD_0RD0LE; {'D', 'E'}
779325; 1RB---_0LB1LC_0RD---_1LE1RD_0RD1LE; {'D', 'E'}
779329; 1RB---_0LB1LC_0RD---_1LE1RD_1RD1LE; {'D', 'E'}
790773; 1RB---_0LB1LC_0LD---_0RD1LE_1RD0LE; {'D', 'E'}
790789; 1RB---_0LB1LC_0LD---_0RE0LD_1LD1RE; {'D', 'E'}
790817; 1RB---_0LB1LC_0LD---_0RE1LD_1LD1RE; {'D', 'E'}
790838; 1RB---_0LB1LC_0LD---_0LE0RD_1RD1LE; {'D', 'E'}
790840; 1RB---_0LB1LC_0LD---_0LE0LD_1RE1LD; {'D', 'E'}
790856; 1RB---_0LB1LC_0LD---_0LE1RD_1RD1LE; {'D', 'E'}
790920; 1RB---_0LB1LC_0LD---_1RD1LE_0LD0LE; {'D', 'E'}
790924; 1RB---_0LB1LC_0LD---_1RD1LE_1RD0LE; {'D', 'E'}
